CustomerID,FirstName,LastName,Gender,DateOfBirth,Email,City,State,Country
1,Christopher,Fleming,F,1956-07-15,mariomurphy@gmail.com,West Haroldhaven,South Dakota,USA
2,Kaitlyn,Howard,F,1954-04-20,hnelson@snyder.com,Lake Jaime,West Virginia,USA
3,Jonathan,Choi,F,1999-06-17,elizabethmyers@huynh.com,New Michael,New Mexico,USA
4,Cynthia,Henderson,M,1967-06-10,linda64@hotmail.com,South Bobbyburgh,Mississippi,USA
5,Jose,Huang,F,1967-08-02,connie38@martinez.com,Yangstad,Nebraska,USA
6,Christopher,Delacruz,F,1997-10-25,randycunningham@gmail.com,Troychester,Massachusetts,USA
7,Carolyn,Dominguez,F,1989-10-06,samanthacastillo@moore-alvarez.biz,South Dylan,Pennsylvania,USA
8,Phillip,Henderson,M,1954-03-27,bradleygregory@morris.info,North Brandi,Nevada,USA
9,Andrew,Johnson,M,1976-05-29,richard61@campbell.com,Dominguezfurt,Louisiana,USA
10,Tina,Miller,F,1989-01-02,rowlandjames@brown.com,West Brucetown,North Dakota,USA
11,Christopher,Tate,F,1982-11-12,hwalker@yahoo.com,Masonshire,Vermont,USA
12,Benjamin,Allison,M,1978-07-04,obrown@yahoo.com,Johnnyberg,Louisiana,USA
13,Jeremy,Wilkerson,F,2000-02-27,mary87@yahoo.com,New Natalieshire,Wisconsin,USA
14,Sarah,Davis,M,1953-03-16,jillgriffin@ramirez-freeman.com,South Charles,Washington,USA
15,Ashley,Gray,F,1964-07-28,xtaylor@yahoo.com,Reidton,Texas,USA
16,Benjamin,Myers,M,1994-12-20,sara06@gmail.com,Angelamouth,Georgia,USA
17,David,Elliott,F,2003-12-28,ayalapatrick@davis-gates.com,Stephaniestad,New York,USA
18,Robert,James,M,2003-04-27,matthewjennings@kramer.com,Chavezstad,Montana,USA
19,Jasmine,Case,F,1960-03-12,pwalters@gmail.com,Sarahtown,Utah,USA
20,Elizabeth,Austin,F,1959-05-12,courtneyford@nelson-fuentes.com,Mckenzieville,Alaska,USA
21,Emma,Perez,F,1985-01-19,tiffany06@jones.com,Lake Teresa,Ohio,USA
22,James,Johnson,M,1990-02-18,jodi54@hotmail.com,Port Kylebury,Tennessee,USA
23,Amber,Cruz,M,1990-11-13,raysabrina@black.com,Ryanmouth,Oregon,USA
24,Wendy,Hensley,M,1958-07-14,shawnduffy@gmail.com,Port Karen,Delaware,USA
25,Alexis,Mcneil,F,1965-03-30,charles75@hotmail.com,Skinnerstad,Wisconsin,USA
26,James,Love,F,1951-10-12,ftorres@lang-thomas.com,Kellyville,South Dakota,USA
27,Mary,Thompson,F,1955-11-15,derekkane@gmail.com,North Timothy,Alaska,USA
28,Harold,Jimenez,F,1981-04-02,kathrynrandall@gillespie-robinson.com,Duncanton,Texas,USA
29,Angela,Mclaughlin,M,1974-09-04,zachary12@gmail.com,New Roy,Louisiana,USA
30,Christopher,Fitzpatrick,M,1968-12-16,matthewfowler@gmail.com,Kellybury,Alabama,USA
31,Natasha,Mckee,F,1965-12-21,john44@gutierrez.com,Mccallville,South Dakota,USA
32,Victoria,Cunningham,F,2002-08-07,donovansierra@clark-peterson.com,Traceyton,New Mexico,USA
33,Scott,Hale,M,1985-04-22,bharris@gmail.com,West Zachary,Idaho,USA
34,Alexandra,Harper,F,2001-03-19,hoffmansamantha@hotmail.com,East Diane,Wyoming,USA
35,Kevin,Alvarez,M,2001-05-31,tberger@gmail.com,East Marialand,Utah,USA
36,Jessica,Watts,M,1996-01-23,kbaker@jordan-green.net,Debraside,Colorado,USA
